age,n_eye,N_DUSUAL_1,N_DUSUAL_2,N_VA,N_WAT_C,N_CA,N_CHO,N_PROT,N_FAT,HE_HP,HE_BMI,smoke,E_Q_FAM,E_Q_SUN,BP8
10대 중반,43,62,64,817.69,10.39,552.22,345.45,82.13,60.33,0,21.18,0,61,0,7.24
10대 초반,22,53,37,693.49,4.6,530.74,318.06,70.94,49.62,0,18.91,0,20,0,8.25
10대 후반,21,52,41,784.4,14.16,493.57,332.29,83.58,60.13,2,21.4,14,32,19,6.82
10세 미만,24,76,167,569.54,6.13,512.59,238.74,51.31,37.16,0,,0,0,0,0.0
20대 중반,12,61,37,751.86,13.32,487.39,301.24,79.24,54.21,10,22.36,63,52,98,7.16
20대 초반,9,36,36,830.61,5.02,465.93,292.07,76.61,58.79,7,21.68,35,23,47,7.37
20대 후반,11,48,36,810.2,10.02,482.69,303.65,78.51,52.96,21,23.0,53,36,56,7.15
30대 중반,22,89,52,948.77,5.24,570.38,315.98,82.42,51.5,32,23.0,127,120,97,7.08
30대 초반,16,68,32,1002.35,9.53,536.02,311.6,82.48,58.36,15,23.31,73,47,72,7.09
30대 후반,17,74,40,888.26,10.2,524.74,321.16,76.28,47.51,44,23.14,116,121,93,6.9
40대 중반,23,76,39,991.79,10.5,563.29,340.17,79.82,47.03,78,24.02,97,122,89,6.94
40대 초반,18,72,31,1004.0,8.45,577.89,334.93,80.74,48.57,51,24.11,72,106,73,6.8
40대 후반,12,66,30,1007.36,5.03,563.96,337.12,78.66,43.56,67,23.76,59,85,68,6.84
50대 중반,22,84,46,894.05,11.55,522.87,324.68,68.71,35.19,152,23.97,94,129,124,6.76
50대 초반,12,56,29,919.63,7.92,534.37,324.58,73.08,36.47,112,24.08,94,107,83,6.95
50대 후반,5,47,30,938.88,5.24,530.79,335.11,71.13,35.83,134,24.36,60,65,84,6.58
60대 중반,25,47,28,811.01,5.2,503.9,338.62,66.53,32.88,213,24.22,57,59,107,6.76
60대 초반,17,39,26,908.85,5.21,540.96,337.58,68.09,35.12,154,24.63,58,68,84,6.87
60대 후반,29,23,20,609.98,4.62,426.78,309.26,56.88,25.9,192,23.92,42,44,88,6.6
70대 중반,41,22,24,585.7,4.33,401.14,291.58,48.63,20.1,216,23.86,44,31,94,6.31
70대 초반,42,24,23,750.66,4.6,441.2,310.0,55.26,23.07,198,24.12,46,34,83,6.39
70대 후반,28,9,12,515.45,9.56,354.41,269.69,48.27,20.28,102,23.08,25,16,45,6.8
80세 이상,56,2,16,468.7,8.18,340.96,261.07,43.39,18.49,132,22.52,23,15,45,7.03
