age,n_eye,N_DUSUAL_1,N_DUSUAL_2,N_VA,N_WAT_C,N_CA,N_CHO,N_PROT,N_FAT,HE_HP,HE_BMI,smoke,E_Q_FAM,E_Q_SUN,BP8
10대 중반,23,70,62,833.95,7.73,518.33,352.12,82.48,59.37,0,20.71,0,45,0,7.33
10대 초반,17,57,38,746.2,8.02,534.73,323.89,74.75,55.27,0,18.98,0,13,0,8.26
10대 후반,12,37,34,681.74,4.7,487.4,328.3,82.69,60.61,2,22.01,9,34,20,6.84
10세 미만,21,73,141,533.4,6.74,478.25,230.21,50.73,36.96,0,16.51,0,0,0,0.0
20대 중반,13,49,28,761.01,4.6,475.82,293.24,79.65,59.75,7,22.23,62,51,55,7.29
20대 초반,17,33,18,627.49,19.76,420.58,294.3,76.53,57.81,3,22.01,35,24,46,7.43
20대 후반,12,52,25,886.45,10.01,509.39,302.43,81.28,57.2,13,22.81,48,46,43,7.52
30대 중반,10,81,40,919.07,11.04,535.38,320.48,81.11,52.79,37,23.75,101,83,60,7.31
30대 초반,18,58,28,1009.77,4.93,549.07,310.29,81.67,54.82,16,23.13,68,68,55,7.39
30대 후반,6,77,44,913.05,7.53,516.51,304.91,76.15,48.49,26,23.41,94,92,66,7.27
40대 중반,19,77,35,1009.46,4.76,522.94,322.37,74.55,41.79,72,23.88,84,102,77,7.02
40대 초반,8,59,34,1002.98,4.68,542.22,319.09,76.26,47.36,53,23.75,71,95,63,7.22
40대 후반,17,51,17,1063.39,9.17,559.76,323.76,75.33,44.85,68,24.01,60,78,61,6.94
50대 중반,14,71,36,901.33,6.96,504.48,321.18,69.49,35.35,157,24.12,80,104,98,7.18
50대 초반,13,51,29,1043.69,4.56,514.31,321.39,70.2,37.12,87,23.93,74,101,75,7.34
50대 후반,9,61,20,967.74,7.93,535.77,324.28,69.66,35.39,111,24.34,58,58,74,7.31
60대 중반,26,55,30,874.34,6.98,503.48,329.18,64.4,29.76,241,24.37,51,71,121,6.97
60대 초반,18,43,13,1001.79,4.57,540.67,336.56,70.08,34.23,136,24.37,36,68,70,7.06
60대 후반,23,32,14,925.67,4.33,473.91,323.8,60.05,27.21,160,24.31,39,38,68,6.89
70대 중반,48,23,35,628.95,3.91,379.45,302.12,52.78,22.27,218,23.92,45,46,76,6.94
70대 초반,26,32,14,685.51,4.39,461.15,313.28,58.01,25.29,185,24.2,31,46,72,6.96
70대 후반,25,14,14,516.19,8.75,353.11,285.88,50.2,21.93,123,23.4,17,11,48,7.03
80세 이상,42,10,16,491.96,3.01,351.64,259.51,44.64,18.44,115,22.63,7,13,38,8.08
